week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
15,224,FALSE,Green Bay,24,12,Los Angeles (R),GB,-7.5,39.5
16,225,FALSE,New York (J),3,19,Jacksonville,NYJ,-2.5,36.5
16,226,FALSE,Chicago,13,35,Buffalo,BUF,-8,40.5
16,227,FALSE,Kansas City,24,10,Seattle,KC,-10,50.5
16,228,FALSE,New England,18,22,Cincinnati,CIN,-3,41.5
16,229,FALSE,Carolina,37,23,Detroit,DET,-2.5,43.5
16,230,FALSE,Minnesota,27,24,New York (G),MIN,-4.5,48
16,231,FALSE,Tennessee,14,19,Houston,TEN,-3,34
16,232,FALSE,Cleveland,10,17,New Orleans,CLE,-3,32
16,233,FALSE,Baltimore,17,9,Atlanta,BAL,-6.5,35
16,234,FALSE,San Francisco,37,20,Washington,SF,-6.5,37
16,235,FALSE,Dallas,40,34,Philedelphia,DAL,-4,48
16,236,FALSE,Pittsburgh,13,10,Las Vegas,PIT,-2,38
16,237,FALSE,Miami,20,26,Green Bay,MIA,-3.5,49.5
16,238,FALSE,Los Angeles (R),51,14,Denver,DEN,-3,36
16,239,FALSE,Arizona,16,19,Tampa Bay,TB,-7.5,41.5
16,240,FALSE,Indianapolis,3,20,Los Angeles (C),LAC,-3.5,44.5
17,241,FALSE,Tennessee,13,27,Dallas,DAL,-14,40.5
17,242,FALSE,Kansas City,27,24,Denver,KC,-12.5,45.5
17,243,FALSE,Philedelphia,10,20,New Orleans,PHI,-5,42
17,244,FALSE,Houston,3,31,Jacksonville,JAX,-3.5,43
17,245,FALSE,New York (G),38,10,Indianapolis,NYG,-5.5,38.5
17,246,FALSE,Detroit,41,10,Chicago,DET,-4.5,52.5
17,247,FALSE,Tampa Bay,30,24,Carolina,TB,-3.5,40.5
17,248,FALSE,New England,23,21,Miami,NE,-3,41.5
17,249,FALSE,Washington,10,24,Cleveland,WAS,-2,41.5
17,250,FALSE,Atlanta,20,19,Arizona,ATL,-6.5,40.5
17,251,FALSE,Las Vegas,34,37,San Francisco,SF,-10,41
17,252,FALSE,Seattle,23,6,New York (J),NYJ,-1.5,43
17,253,FALSE,Green Bay,41,17,Minnesota,GB,-3.5,47.5
17,254,FALSE,Los Angeles (C),31,10,Los Angeles (R),LAC,-6.5,41
17,255,FALSE,Baltimore,13,16,Pittsburgh,BAL,-1,35.5
17,256,FALSE,Cincinnati,,,Buffalo,CIN,0,
18,257,FALSE,Las Vegas,13,31,Kansas City,KC,-8.5,52
18,258,FALSE,Jacksonville,20,16,Tennessee,JAX,-6.5,39.5
18,259,FALSE,Atlanta,30,17,Tampa Bay,ATL,-6,40.5
18,260,FALSE,Buffalo,35,23,New England,BUF,-8,44
18,261,FALSE,Chicago,13,29,Minnesota,MIN,-6.5,42.5
18,262,FALSE,Cincinnati,27,16,Baltimore,CIN,-11,39
18,263,FALSE,Indianapolis,31,32,Houston,IND,-3,37.5
18,264,FALSE,Miami,11,6,New York (J),MIA,-3.5,37.5
18,265,FALSE,New Orleans,7,10,Carolina,NO,-3.5,41.5
18,266,FALSE,Pittsburgh,28,14,Cleveland,PIT,-2.5,40
18,267,FALSE,Denver,31,28,Los Angeles (C),DEN,-6.5,39
18,268,FALSE,Philedelphia,22,16,New York (G),PHI,-17,43
18,269,FALSE,San Francisco,38,13,Arizona,SF,-14.5,40
18,270,FALSE,Seattle,19,16,Los Angeles (R),SEA,-4.5,43
18,271,FALSE,Washington,26,6,Dallas,DAL,-7.5,41
18,272,FALSE,Green Bay,16,20,Detroit,GB,-4,48
WC,273,TRUE,Jacksonville,31,30,Los Angeles (C),LAC,-2.5,46.5
WC,274,TRUE,San Francisco,41,23,Seattle,SF,-9.5,42
WC,275,TRUE,Buffalo,34,31,Miami,BUF,-14,44.5
WC,276,TRUE,Cincinnati,24,17,Baltimore,CIN,-8,40
WC,277,TRUE,Minnesota,24,31,New York (G),MIN,-2.5,48
WC,278,TRUE,Tampa Bay,14,31,Dallas,DAL,-2.5,45.5
DIV,279,TRUE,Kansas City,27,20,Jacksonville,KC,-9.5,52
DIV,280,TRUE,Philedelphia,38,7,New York (G),PHI,-8,48
DIV,281,TRUE,Buffalo,10,27,Cincinnati,BUF,-6,48.5
DIV,282,TRUE,San Francisco,19,12,Dallas,SF,-3.5,46.5
AFCCG,283,TRUE,Kansas City,23,20,Cincinnati,KC,-1.5,48
NFCCG,284,TRUE,Philedelphia,31,7,San Francisco,PHI,-2.5,45.5
SB,285,TRUE,Philedelphia,35,38,Kansas City,PHI,-1,51
