week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
13,189,FALSE,Philadelphia,35,10,Tennessee,PHI,-4,44
13,190,FALSE,Los Angeles (R),23,27,Seattle,SEA,-7,41
13,191,FALSE,San Francisco,33,17,Miami,SF,-4.5,45.5
13,192,FALSE,Cincinnati,27,24,Kansas City,KC,-2.5,53
13,193,FALSE,Las Vegas,27,20,Los Angeles (C),LV,-2.5,49.5
13,194,FALSE,Dallas,54,19,Indianapolis,DAL,-10.5,44.5
13,195,FALSE,Tampa Bay,17,16,New Orleans,TB,-3,41
14,196,FALSE,Los Angeles (R),17,16,Las Vegas,LV,-6,44.5
14,197,FALSE,Buffalo,20,12,New York (J),BUF,-10,43
14,198,FALSE,Cincinnati,23,10,Cleveland,CIN,-5.5,46.5
14,199,FALSE,Dallas,27,23,Houston,DAL,-17,44
14,200,FALSE,Detroit,34,23,Minnesota,DET,-2,51.5
14,201,FALSE,New York (G),22,48,Philadelphia,PHI,-7,45
14,202,FALSE,Pittsburgh,14,16,Baltimore,PIT,-1.5,36.5
14,203,FALSE,Tennessee,22,36,Jacksonville,TEN,-3.5,41
14,204,FALSE,Denver,28,34,Kansas City,KC,-8.5,44
14,205,FALSE,San Francisco,35,7,Tampa Bay,SF,-3.5,37.5
14,206,FALSE,Seattle,24,30,Carolina,SEA,-4,44.5
14,207,FALSE,Los Angeles (C),23,17,Miami,MIA,-3,53.5
14,208,FALSE,Arizona,13,27,New England,NE,-1.5,43.5
15,209,FALSE,Seattle,13,21,San Francisco,SF,-3,43
15,210,FALSE,Minnesota,39,36,Indianapolis,MIN,-3.5,47.5
15,211,FALSE,Cleveland,13,3,Baltimore,CLE,-3,38
15,212,FALSE,Buffalo,32,29,Miami,BUF,-7,43.5
15,213,FALSE,Carolina,16,24,Pittsburgh,CAR,-2.5,37.5
15,214,FALSE,Chicago,20,25,Philadelphia,PHI,-8.5,48.5
15,215,FALSE,Houston,24,30,Kansas City,KC,-14.5,48.5
15,216,FALSE,Jacksonville,40,34,Dallas,DAL,-4,48
15,217,FALSE,New Orleans,21,18,Atlanta,NO,-4,43.5
15,218,FALSE,New York (J),17,20,Detroit,NYJ,-1,43.5
15,219,FALSE,Denver,24,15,Arizona,DEN,-1.5,36.5
15,220,FALSE,Las Vegas,30,24,New England,LV,-1.5,45
15,221,FALSE,Los Angeles (C),17,14,Tennessee,LAC,-3,46.5
15,222,FALSE,Tampa Bay,23,34,Cincinnati,CIN,-3.5,45
15,223,FALSE,Washington,12,20,New York (G),WAS,-4.5,40.5
15,224,FALSE,Green Bay,24,12,Los Angeles (R),GB,-7,39.5
16,225,FALSE,New York (J),3,19,Jacksonville,NYJ,-2,37
16,226,FALSE,Baltimore,17,9,Atlanta,BAL,-6.5,34.5
16,227,FALSE,Carolina,37,23,Detroit,DET,-2.5,43.5
16,228,FALSE,Chicago,13,35,Buffalo,BUF,-8,40
16,229,FALSE,Cleveland,10,17,New Orleans,CLE,-3,32
16,230,FALSE,Kansas City,24,10,Seattle,KC,-10,49.5
16,231,FALSE,Minnesota,27,24,New York (G),MIN,-4,49.5
16,232,FALSE,New England,18,22,Cincinnati,CIN,-3,41.5
16,233,FALSE,Pittsburgh,13,10,Las Vegas,PIT,-2,38
16,234,FALSE,Tennessee,14,19,Houston,TEN,-3,35.5
16,235,FALSE,San Francisco,37,20,Washington,SF,-6.5,37.5
16,236,FALSE,Dallas,40,34,Philadelphia,DAL,-4.5,47
16,237,FALSE,Miami,20,26,Green Bay,MIA,-3.5,49.5
16,238,FALSE,Los Angeles (R),51,14,Denver,DEN,-3,36.5
